Scenario,Ticker,MeanNetPnL,MedianNetPnL,Trades,Dates,NonFlatHit,Suite
sp400_med,FNF,-0.0008066288086880782,0.0,13,18,0.6153846153846154,QQQ
sp400_med,FN,-0.0008878376173802496,0.0,8,18,0.5,QQQ
sp400_med,KBR,-0.0012651976195615332,0.0,5,18,0.6,QQQ
sp400_med,CHRD,-0.0014052420832039556,0.0,8,18,0.5,QQQ
sp400_med,GLPI,-0.0014847394986810996,-0.0,13,18,0.46153846153846156,QQQ
sp400_med,ARMK,-0.0015108302120244166,0.0,9,18,0.5555555555555556,QQQ
sp400_med,LNTH,-0.0015244645440630389,0.0,15,18,0.4666666666666667,QQQ
sp400_med,JAZZ,-0.0015528989510937615,-0.0002832200164798,18,18,0.5,QQQ
sp400_med,MTDR,-0.001913318327268261,-0.00077497759031535,17,18,0.47058823529411764,QQQ
sp400_med,EXLS,-0.002219050627179089,-0.00022209619544655,15,18,0.4666666666666667,QQQ
sp400_med,SATS,-0.0022405065277929835,-0.01130856557910445,18,18,0.2777777777777778,QQQ
sp400_med,QLYS,-0.0023992827372243336,0.0,13,18,0.46153846153846156,QQQ
sp400_med,PBF,-0.002465501161437061,-0.0,12,18,0.5,QQQ
sp400_med,NSA,-0.0025443092891140446,-0.0013885534758892502,13,18,0.23076923076923078,QQQ
sp400_med,AVAV,-0.002797609514363933,0.0,8,18,0.75,QQQ
sp400_med,STAG,-0.002805839675694761,-0.00176078144449805,16,18,0.375,QQQ
sp400_med,TRU,-0.0028795618008697274,-0.0,15,18,0.4666666666666667,QQQ
sp400_med,LEA,-0.00304176553644105,0.0,11,18,0.36363636363636365,QQQ
sp400_med,REXR,-0.003310930578668906,0.0,14,18,0.42857142857142855,QQQ
sp400_med,CNH,-0.0033406818415081616,0.00139266461282,17,18,0.6470588235294118,QQQ
sp400_med,MASI,-0.0034042873287456997,-0.0002414096188663,12,18,0.3333333333333333,QQQ
sp400_med,ESNT,-0.003457870954181461,-0.0053980632295277005,16,18,0.25,QQQ
sp400_med,AXTA,-0.003819826384561472,0.0,10,18,0.5,QQQ
sp400_med,MTSI,-0.0039116438706941,0.0,10,18,0.6,QQQ
