Ticker,Market,Sector,Size,Model,Threshold,Band,AUC,PR_AUC,CAGR,Sharpe,MaxDD,TradeRate,Scenario,Suite
ZTS,QQQ,XLV,,RF,0.55,0.1,0.5203906935908691,0.4744072917100467,0.005330906984725825,0.6107013393789269,-0.005626592629219163,0.013179571663920923,sp500_med,QQQ
XYL,QQQ,XLI,,RF,0.575,0.1,0.524462614928814,0.44780979863642056,0.05901909539166228,0.6024592342452312,-0.14006384283564888,0.2708333333333333,sp500_med,QQQ
KKR,QQQ,XLF,,RF,0.575,0.1,0.5046299747998151,0.4690138039934737,0.07623337292919019,0.6014783978551802,-0.19774135032897822,0.10340136054421768,sp500_med,QQQ
DG,QQQ,XLP,,LR,0.6,0.02,0.49683113915787186,0.47254733399535953,0.1604265445836146,0.5884903642289555,-0.44727546399129436,0.99609375,sp500_med,QQQ
BX,QQQ,XLI,,RF,0.575,0.1,0.5219002592649078,0.4790127284176385,0.020502278241237404,0.5319132488250573,-0.04477195568230774,0.007874015748031496,sp500_med,QQQ
V,QQQ,XLF,,RF,0.625,0.02,0.47129671008711677,0.4540703394009557,0.06178968588001399,0.4322835914451075,-0.21938585327339466,0.9788732394366197,sp500_med,QQQ
PSKY,QQQ,XLC,MDY,LR,0.625,0.06,0.558149451018015,0.529020967356788,0.07303764315991645,0.3803376449726469,-0.401563012378804,0.6101190476190477,sp500_med,QQQ
FTNT,QQQ,XLK,,LR,0.55,0.06,0.5139291301095015,0.5094488405510151,0.07357197884016387,0.3775698389109616,-0.6266676546009136,0.9009126466753585,sp500_med,QQQ
CHTR,QQQ,XLC,,LR,0.625,0.02,0.5331389560517706,0.48144661852203086,0.06350150907819896,0.352718825139402,-0.27572315821647175,0.9880952380952381,sp500_med,QQQ
APO,QQQ,XLF,,RF,0.55,0.08,0.48636818204173976,0.49058645658563627,0.02642343273014447,0.25083582160172246,-0.21615707861786027,0.15736766809728184,sp500_med,QQQ
CFG,QQQ,XLF,MDY,LR,0.55,0.08,0.5195460092033108,0.45729872193796084,0.022119711291342936,0.24456667529327927,-0.47601969780921427,0.5267175572519084,sp500_med,QQQ
MSCI,QQQ,XLB,,RF,0.6,0.04,0.4740118022227166,0.4781721278919804,0.029270469513451802,0.24064589466790368,-0.39759459192125035,0.9010356731875719,sp500_med,QQQ
