Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL,Suite,SignalDate
PAYO,2024-04-30,QQQ,XLC,,RF,0.575,0.08,0.5098253809981873,0,-0.0031631510653916412,-0.0,QQQ,2024-04-30
JBGS,2024-04-30,QQQ,XLRE,MDY,LR,0.65,0.1,0.5803389808973803,0,-0.03345180021440411,-0.0,QQQ,2024-04-30
JXN,2024-04-30,QQQ,XLF,MDY,LR,0.6,0.1,0.6528302708980663,0,0.016176182030402567,0.0,QQQ,2024-04-30
KNTK,2024-04-30,QQQ,XLE,MDY,RF,0.55,0.1,0.6112151483310685,0,-0.0001417877093990556,-0.0,QQQ,2024-04-30
OGN,2024-04-30,QQQ,XLV,MDY,LR,0.575,0.06,0.6331371016989534,0,0.009607273923447518,0.0,QQQ,2024-04-30
KRYS,2024-04-30,QQQ,XLV,,LR,0.6,0.08,0.5339060455806816,0,0.04747516240057807,0.0,QQQ,2024-04-30
KTB,2024-04-30,QQQ,XLB,IJR,LR,0.55,0.1,0.47516710918710475,0,-0.0028222306281577266,-0.0,QQQ,2024-04-30
LBRT,2024-04-30,QQQ,XLE,IJR,RF,0.55,0.1,0.5129083088867505,0,-0.025308362353160137,-0.0,QQQ,2024-04-30
NGVT,2024-04-30,QQQ,XLB,IJR,RF,0.65,0.06,0.6938024916182854,0,0.007182886423176853,0.0,QQQ,2024-04-30
MGY,2024-04-30,QQQ,XLE,IJR,RF,0.6,0.1,0.5604546384299485,0,0.00047815795086565845,0.0,QQQ,2024-04-30
FTDR,2024-04-30,QQQ,XLY,MDY,LR,0.55,0.08,0.4879528572499101,0,0.008528141767034666,0.0,QQQ,2024-04-30
REYN,2024-04-30,QQQ,XLP,,LR,0.625,0.08,0.6910637548530277,0,0.0019143501971746492,0.0,QQQ,2024-04-30
FCPT,2024-04-30,QQQ,XLRE,MDY,LR,0.6,0.02,0.5965817333727915,0,0.0056887849166503465,0.0,QQQ,2024-04-30
FBRT,2024-04-30,QQQ,XLRE,IJR,RF,0.575,0.1,0.5806071103770628,0,0.034184219618059244,0.0,QQQ,2024-04-30
ADNT,2024-04-30,QQQ,XLB,MDY,LR,0.6,0.04,0.6350417061855388,0,-0.019614437913228953,-0.0,QQQ,2024-04-30
WSC,2024-04-30,QQQ,XLI,MDY,RF,0.65,0.1,0.5917502351691016,0,-0.003959560052303509,-0.0,QQQ,2024-04-30
AMR,2024-04-30,QQQ,XLE,MDY,LR,0.575,0.1,0.5937663940494952,0,-0.0034764337854915704,-0.0,QQQ,2024-04-30
ARLO,2024-04-30,QQQ,XLY,MDY,RF,0.55,0.1,0.5106565553878594,0,-0.0008536336751188585,-0.0,QQQ,2024-04-30
ASIX,2024-04-30,QQQ,XLB,IJR,RF,0.65,0.04,0.6120071471439102,0,3.596405773865271e-05,0.0,QQQ,2024-04-30
WHD,2024-04-30,QQQ,XLE,IJR,LR,0.575,0.06,0.5840058568445482,0,0.0200771828098299,0.0,QQQ,2024-04-30
CARG,2024-04-30,QQQ,XLY,,RF,0.55,0.04,0.5376064492592718,0,0.007320465720107088,0.0,QQQ,2024-04-30
VRRM,2024-04-30,QQQ,XLI,MDY,LR,0.575,0.1,0.4947696491649808,0,0.012350835896306239,0.0,QQQ,2024-04-30
CLSK,2024-04-30,QQQ,XLY,,RF,0.55,0.1,0.5152930770735693,0,-0.007786829246476456,-0.0,QQQ,2024-04-30
CNR,2024-04-30,QQQ,XLE,IJR,LR,0.575,0.1,0.5936168721493585,0,0.0030422069213646963,0.0,QQQ,2024-04-30
VCTR,2024-04-30,QQQ,XLF,MDY,RF,0.55,0.08,0.4945478755795813,0,-0.004191001542213512,-0.0,QQQ,2024-04-30
SMPL,2024-04-30,QQQ,XLP,,RF,0.575,0.08,0.5134640208289029,0,0.01083023139310002,0.0,QQQ,2024-04-30
SLVM,2024-04-30,QQQ,XLB,MDY,RF,0.65,0.1,0.6523158610649348,0,0.002375923683980448,0.0,QQQ,2024-04-30
CXM,2024-04-30,QQQ,XLY,,RF,0.625,0.1,0.546925228349771,0,0.03771246824795802,0.0,QQQ,2024-04-30
SITM,2024-04-30,QQQ,XLK,,RF,0.6,0.1,0.5387407591223571,0,0.004219966372908121,0.0,QQQ,2024-04-30
DFIN,2024-04-30,QQQ,XLI,MDY,LR,0.55,0.1,0.5650663537010586,0,-0.04600775258652776,-0.0,QQQ,2024-04-30
DOCN,2024-04-30,QQQ,XLY,,RF,0.55,0.1,0.4912264163893025,0,0.10290667249215278,0.0,QQQ,2024-04-30
DV,2024-04-30,QQQ,XLY,,RF,0.55,0.06,0.5062448865622289,0,0.023874833515895963,0.0,QQQ,2024-04-30
REZI,2024-04-30,QQQ,XLI,MDY,LR,0.65,0.02,0.6314641468810243,0,0.002713367596926004,0.0,QQQ,2024-04-30
NE,2024-04-30,QQQ,XLE,MDY,RF,0.625,0.04,0.6153485849447118,0,0.007456239642484686,0.0,QQQ,2024-04-30
FBK,2024-04-30,QQQ,XLF,IJR,RF,0.65,0.06,0.6646340201226881,0,0.017331941619969878,0.0,QQQ,2024-04-30
MIR,2024-04-30,QQQ,XLI,,RF,0.6,0.1,0.5276035354539993,0,-0.05275093314450456,-0.0,QQQ,2024-04-30
INSW,2024-04-30,QQQ,XLE,MDY,LR,0.55,0.02,0.7107848613094359,1,0.0005520651472411854,-0.0004479348527588146,QQQ,2024-04-30
CWK,2024-04-30,QQQ,XLRE,MDY,RF,0.65,0.06,0.5409952215961702,-1,-0.0005503300727358177,-0.0004496699272641823,QQQ,2024-04-30
BL,2024-04-30,QQQ,XLB,,RF,0.625,0.02,0.5088094941437497,-1,-0.00046612476251833845,-0.0005338752374816616,QQQ,2024-04-30
